Ideia / Problema / Oportunidade,Experimentação,Piloto,Escala,Iniciativa,Descrição,Unnamed: 6,#,Situação Atual e Próximos passos,Área,Sponsor/BO,Times,Início ,Previsão de Término,Mês Conclusão,Ano Conclusão,Tecnologia,Histórico e Apredizados,Datas perdidas,Data de Atualização,Ordem,Ganhos
Não Iniciado,,,,PREVENÇÃO DE PERDAS,"Utilizar a IA para embarcar todo analítico de qualidade, possibilitando que sejam realizadas perguntas pontuais (ex. Black Friday).",,1.0,Aguardando priorização,Canais Remotos,Sidney Neves,,,,,,Gen AI,,,,4.0,
Não Iniciado,,,,URA ADAPTATIVA,"Incluir IA na URA de acordo com o perfil do cliente, substituindo a navegação atual por perguntas e respostas.",,1.0,Aguardando priorização,Canais Remotos,Sidney Neves,,,,,,Gen AI,,,,4.0,
Não Iniciado,,,,DIRECIONAMENTO ADAPTATIVO DA CHAMADA,"IA direciona as ligações (on-line) que sugerem o direcionamento para N2, incluindo a oferta a ser utilizada pelo N2.",,1.0,Aguardando priorização,Canais Remotos,Sidney Neves,,,,,,Gen AI,,,,4.0,
Não Iniciado,,,,PREVENÇÃO DE PERDAS,Incluir a IA na matriz de decisão para reduzir perdas de instalação e ativação.,,1.0,Aguardando priorização,Canais Remotos,Sidney Neves,,,,,,Gen AI,,,,4.0,
Não Iniciado,,,,URA RESOLUTIVA,"Para alguns perfis de clientes, realizar a venda na própria URA.",,1.0,Aguardando priorização,Canais Remotos,Sidney Neves,,,,,,Gen AI,,,,4.0,
Não Iniciado,,,,URA ADAPTATIVA,Automatizar processo de captação utilziando a IA.,,1.0,Aguardando priorização,Canais Remotos,Sidney Neves,,,,,,Gen AI,,,,4.0,
Não Iniciado,,,,APOIO IA NO MOMENTO DO CONTATO,"Analise de todas as chamadas, com o intuito de substituição da tabulação operacional. ",,1.0,Aguardando priorização,Canais Remotos,Sidney Neves,,,,,,Gen AI,,,,4.0,
Não Iniciado,,,,PREVENÇÃO DE PERDAS,"Identificar vendas de ""impacto"", contendo palavras/frases que possam gerar futuras reclamações de vendas, ex: ""Vai incluso"", ""é grátis"", ""usa se quiser"", etc...",,1.0,Aguardando priorização,Canais Remotos,Sidney Neves,,,,,,Gen AI,,,,4.0,
Não Iniciado,,,,APOIO IA NO MOMENTO DO CONTATO,"Identificar sentimento do cliente para o tempo de confirmação de dados de vendas ""checklist"", inuito de simplificar e reduzir tempo médio de venda atual",,1.0,Aguardando priorização,Canais Remotos,Sidney Neves,,,,,,Gen AI,,,,5.0,
Não Iniciado,,,,CONTESTAÇÃO DE FATURAS,"Atender o 1o nível de contestações de faturas dos clientes B2B, gerando mais velocidade na devolutiva para o cliente, e evitando o atraso na arrecadação de valores. Inicialmente, tratar com a conectividade, e posteriormente para as demaisfaturas que o cliente empresarial pode contestar pode contestar que é a mobilidade e soluções",,1.0,Aguardando priorização,Empresarial,Carla Tiemi,,,,,,Gen AI,,,,5.0,
Não Iniciado,,,,Sumarização dos Contratos,"Revisão de contratos e sumarização das principais cláusulas, transformando as informações em um banco de dados de fácil consulta e de utiliazação para integração com outros processos de automação.",,1.0,Aguardando priorização,GNI,João Antunes,,,,,,Gen AI,,,,5.0,
Não Iniciado,,,,Análise Contratual,"Processo que seja capaz de realizar análise das solicitações (FCU) em comparativo com as clausulas contratuais e financeiras a qual regem cada contrato. Sendo possivel verificar se os valores financeiros estão de acordo ou não, gerando assim um alerta para verificação dos desvios, possibiltando correções.",,1.0,Aguardando priorização,GNI,João Antunes,,,,,,Gen AI,,,,5.0,
Não Iniciado,,,,Acelerar atendimento humano via Whatsapp,"Com relação a usar a IA para ajudar nos atendimentos humanos via whatsapp a nossa ideia era testar o potencial de redução de tempo total no atendimento de clientes.
Como hoje estamos testando o atendimento de até 7 clientes consecutivos, temos a esperança de reduzir pelo menos 10% o tempo gasto no atendimento via (whatsapp + AI), mas ainda não temos dados e estamos testando como chegar lá.",,1.0,Aguardando priorização,CCFA,Wladmir,,,,,,Gen AI,,,,5.0,
Não Iniciado,,,,Análise de validade de comprovante de buscas de pagamento,-,,1.0,Aguardando priorização,CCFA,Alexandre Campos,,,,,,Gen AI,,,,5.0,
Não Iniciado,,,,Utilização de IA para leitura e interpretação de documentos na análise de crédito PJ,-,,1.0,Aguardando priorização,CCFA,Samir Oliveira,,,,,,Gen AI,,,,5.0,
Não Iniciado,,,,Análise de Contratos,"Efetuar o compartivo de contratos Jurídicos para validação de Cláusulas de penalidades e Multas, índices de reajustes  por fornecedor e categoria e fornecimento.
Extrair automaticamente informações-chave de contratos, como cláusulas específicas, datas, valores e partes envolvidas.
identificar cláusulas de alto risco
Tradução de contratos para outros idiomas",,1.0,Aguardando priorização,Compras,Ilana,,,,,,Gen AI,,,,5.0,
Não Iniciado,,,,Inteligência de Mercado,"Utilizar IA para monitorar o mercado, analisar notícias, relatórios econômicos e outras fontes de dados externas",,1.0,Aguardando priorização,Compras,Ilana,,,,,,Gen AI,,,,5.0,
Não Iniciado,,,,Assistência Virtual para Tomada de Decisões,"Utilização de assistentes virtuais baseados em IA que ajudem  compras a tomar decisões, fornecendo insights rápidos sobre questões como preços de mercado, condições de fornecedores e análises de riscos.",,1.0,Aguardando priorização,Compras,Ilana,,,,,,Gen AI,,,,5.0,
Não Iniciado,,,,chat inteligente para duvidas do portal de notas e de retenções fiscais,-,,1.0,Aguardando priorização,Tributário,Rodrigo Bazo,,,,,,Gen AI,,,,5.0,
Não Iniciado,,,,IA em CO PILOTO para validação de documentos.,,,1.0,Aguardando priorização,RH,Alexandre Vailatti,,,,,,Gen AI,,,,5.0,
Não Iniciado,,,,Chat TOA,"Integrar serviço de Inteligência artificial para interagir com o técnico de campo no chat do TOA, entendendo e respondendo às solicitações do técnico durante a manutenção em campo",,1.0,Aguardando priorização,Rede Externa,Wilson Luiz Vieira (Renan Basilio),,,,,,Gen AI,,,,6.0,
Não Iniciado,,,,Chat DTC,"Integrar serviço de Inteligência artificial para interagir com os analistas de DTC, entendendo e respondendo às solicitações durante a abertura de um chamado, já dando sugestões de ação para o analista",,1.0,Aguardando priorização,Rede Externa,Rafael Gallao,,,,,,Gen AI,,,,6.0,
Não Iniciado,,,,Veracidade de Fotos de Vandalismo,Identificação de veracidade de fotos de vandalismo ( Utilizar coordenada da foto + Região de reincidência + Associar se temos alguma coordenada de CEL ou Veiculo nosso próximo na hora do evento e até mesmo o reconhecimento por imagem do cabo cortado),,1.0,Aguardando priorização,Rede Externa,Paulo R Soares Furtado ,,,,,,Gen AI,,,,6.0,
Não Iniciado,,,,Validações de correções mecânica,"Validações de correções mecânicas feitas pela parceira ( execução, preventiva, emergenical x pagamentos);",,1.0,Aguardando priorização,Rede Externa,Paulo R Soares Furtado ,,,,,,Gen AI,,,,6.0,
Não Iniciado,,,,Chatbot no Portal de Processos,"Criar um chatbot dentro do portal de processos, para responder as dúvidas sobre os processos de vendas e ajudar a localizar informações sobre os temas pesquisados",,1.0,Aguardando priorização,PME,Dailane Vasconcelos (Vania de Cassia Zanutim),,,,,,Gen AI,,,,6.0,
Não Iniciado,,,,Análise as características do(s) produto(s),"A – identificar possíveis objeções que os clientes podem gerar
B – Sugerir argumentos para combater essas objeções
C – Gerar script e/ou argumentações persuasivos, bem elaborados com maior poder de convencimento",,1.0,Aguardando priorização,PME,Edna Félix (Ralph Furlan),,,,,,Gen AI,,,,6.0,
Não Iniciado,,,,"Análise produto concorrente 
Análise produtos concorrentes vs o da Claro","A – Apresentar as principais características dos produtos concorrentes
B - Comparar com o um produto similar da Claro ou trazer produto similar
B – Mostrar possíveis ganhos e perdas (benefícios)quando comparado a outro produto
C – uma vez apresentado esses benefícios, verificar se esses estão sendo avaliados pelo público/Internet",,1.0,Aguardando priorização,PME,Edna Félix (Ralph Furlan),,,,,,Gen AI,,,,6.0,
Não Iniciado,,,,"Roteiro de video, Puxadas de Venda e palestras","Roteirizar e criar storytelling de conteudos para criação de videos, puxadas de venda e palestras sobre produtos, soluções, mercado.",,1.0,Aguardando priorização,PME,Pâmella Lopes (Anita Roquete),,,,,,Gen AI,,,,6.0,
Concluído,Em planejamento,,,Evolução da Clarinha,Utilizar ferramentas de LLM para melhorar as interações e respostas da Clarinha,,3.0,"Busca hibrida implementada, avaliando resultados iniciais antes de soltar para o time da clarinha.",TI,Cesar Santos,TI,,,,,,,,2025-08-28,0.0,
Concluido,Em andamento,,,Copiloto para Produtos Digitais,"Desenvolver um assistente virtual inteligente que apoie em decisões estratégicas, capaz de responder perguntas referente a dados internos da Claro (estruturados em bancos de dados e não estruturados em documentos), e/ou externos relevantes, como informações de concorrentes obtidas através de parcerias, por exemplo, dados de anúncios de banda larga feitos no Google.",,3.0,Fechando o relatório de experimento.,Digital,Rodrigo Duclos,Digital,,,,,,,,2025-07-18,,
Concluido,Concluido com Pivot,,,Uso de Llama para autoinspeção,Processar a mesma amostra de imagens utilizadas no experimento de autoinspeção nas modelos llama 3.2 90b e Llama 4 Maverick para avaliar se há oportunidade de economia.,,3.0,"O llama3 foi pouco criterioso para dizer que uma imagem estava conforme, dizendo conforme para 86% das imagens, tendo vários falsos positivos. Já o Llama 4 foi muito criterioso, dizendo 74% de nao conforme, mas com explicações sensatas do porque nao estava conforme. Próximo ciclo em backlog aguardando priorização.",beOn,Rodrigo Duclos,beOn Labs,,2025-05-09 00:00:00,,,Gen AI,"Em uma primeira execução temos Llama 4 Maverick = 70% e Llama 3.2 = 68%. Na infra atual não conseguimos executar mais que 8 imagens, estourra o stack do modelo. Acreditamos que há possibilidades de melhoria do ambiente. ",,2025-05-08,,
Concluido,Concluido - Aguardando Go/No para Piloto,,,Consulta de pareceres jurídicos (JurisQuery),Otimização na consulta a pareceres jurídicos em busca inteligente no repositório,,1.0,HLE enviado e aguardando validação pelo solicitante,Jurídico,Paulo Viveiros,HITSS,,,11.0,2024.0,,,,2025-08-08,,
Concluido,Concluido - Aguardando Go/No para Piloto,Não iniciado,,STT - Whisper (característica do áudio),"Verificar se a caracteristica do áudio, como mais silêncio, pausas, influenciam na performance do Whisper. Consideraremos audios de vendas, atendimento (com mais pausas) e bíblia (narrativa).",,3.0,Reunião com a HITSS para transferencia de tecnologia (nuvem da Oracle).,beOn,Assad,TI / HITSS,,,4.0,2025.0,Gen AI,,,2025-05-08,,
Concluido,Concluido - Aguardando Go/No para Piloto,Não iniciado,,STT - Whisper (GPUs Diferentes),"Avaliar desempenho do Whisper em GPUs diferentes, A100, H100, L4 e L40s",,3.0,Reunião com a HITSS para transferencia de tecnologia (nuvem da Oracle).,beOn,Assad,TI / HITSS,,,4.0,2025.0,Gen AI,,,2025-05-08,,
Concluido,Concluido - Aguardando Go/No para Piloto,Não iniciado,,STT - Whisper (Múltiplas GPUs),Avaliar o desempenho do Whisper executando em múltiplas GPUs,,3.0,Reunião com a HITSS para transferencia de tecnologia (nuvem da Oracle).,beOn,Assad,TI / HITSS,,,4.0,2025.0,Gen AI,,,2025-05-08,,
Concluido,Arquivado,,,Teams Premium (Copilot),"Funcionalidades do Teams Premium (gravação / transcrição de reuniões, ata automatica ...)",,3.0,"Frente cancelada, seguir somente com Copilot M365.",Digital,Rodrigo Duclos / Ricardo Ferro,Digital,,,,,,,,2025-07-18,,
Concluido,Concluido,Em andamento,,Busca Avançada (TV)​,"Desenvolver um mecanismo de busca de conteúdo otimizado, capaz de identificar conteúdos mesmo quando informado termos com ortografia correta ou quando o cliente não sabe o nome do filme mas sabe o contexto, por exemplo, ""filme da Julia Roberts em Las Vegas"", ou mesmo para conteúdos lineares quando se deseja saber em qual canal e horário irá passar o jogo do seu time e esporte favorito.",,3.0,Novo ciclo de Piloto. 11/08.,Digital,Ricardo Falcão,Digital,,,5.0,2025.0,,,,2025-07-18,,
Concluido,Concluido - Aguardando Go/No para Piloto,,,Busca Avançada (Site)​,"Desenvolver um mecanismo de busca otimizado de conteúdo, capaz de entender com precisão a intenção dos usuários e direcioná-los corretamente para a página desejada ou para termos contidos na FAQ. Isso melhorará a experiência dos clientes e aumentará o engajamento com outras propriedades digitais.",,3.0,Aguardando próximo passos para piloto,Digital,Marco Zumba,Digital,,,,,,,,2025-07-18,,
Concluído,Em andamento,,,Qualificações de segurança,"Usar LLM para efetuar avaliações de segurança de criações/atualizações de APIs, conforme dados preenchidos em um formulário.",,3.0,"Em testes, previsão 29/08.",Segurança,Denis,beOn Labs,2025-05-01,Em planejamento,,,,,,2025-08-08,,
Backlog,,,,Testes com Placas da Intel,,,,,,,,,,,,,,,,6.0,
Backlog,,,,Interface Gerencia - TEO - CFM - OTS,"Avaliar a possibilidade de criar um sistema, baseado em IA, para viabilizar a análise de documentos técnicos, convertendo-os em um conjuntos de dados para cadastro no CFM (Ferramenta de inventário de rede).",,3.0,Fizemos alguns testes básicos para que avaliem se a IA realmente pode contribuir. É necessário saber as regras de conversão e aparentemente seria resolvido com motor de regras. Tende a não se tornar experimento.,Engenharia,Marcio Nunes / JORGE ALOAN,Beon Labs,,,,,,,,2025-05-15,,
Concluido,Concluido - Aguardando Go/No para Piloto,,,Benchmark LLM Opensource,Benchmark dos modelos Deepseek R1 e Llama 4 nas máquinas da Oracle,,3.0,Reunião com a HITSS para transferencia de tecnologia (nuvem da Oracle).,Beon,Assad,Beon Labs,2025-05-12,2025-05-16 00:00:00,,,Gen AI,,,2025-05-15,,
Concluído,Concluido com Pivot,,,IA para Ips de Redes - NetMindIp,Avaliar se uma LLM consegue recuperar informações de rede em uma base de dados estruturada.,,3.0,Em um primeiro ciclo não atendeu aos critérios. LAB fez algumas recomendações e será feito um novo ciclo de experimentação.,TI,Luna / Ismael,Beon Labs,2025-05-14,Em planejamento,,,,,,2025-07-11,1.0,
Em Prospecção,,,,CoE - Qualidade do Codigo com IA,Avaliar se a LLM pode efetuar análise de qualidade de código para a esteira de DevSecOps,,3.0,Iniciativa priorizada para Q3/2025. Alinhar se vamos sincronizar com as atividades da plataforma DevX. ,TI,Gustavo Leite / Ricardo Rosa,Beon Labs,,,,,,,,2025-08-08,2.0,
Concluido,Em andamento,,,Processamento de Manifestos,"Desenvolver uma ferramenta analítica que, a partir das reclamações nos canais críticos e dados enriquecidos da base, gere diagnósticos com estatísticas.  O objetivo é apoiar a Ouvidoria na identificação de padrões, motivos e melhorias nos atendimentos.",,3.0,Reunião para apreentação do relatório no dia 29/08.,Canais Críticos,Felipe Takashi / Roberto WIZBICKI,Beon Labs,2025-05-28,Em planejamento,,,,,,2025-08-28,,
Em backlog,,,,Calculadora de Valor Futuro para processos judiciais,Calculadora de valor provável corrigido monetariamente para causas judiciais versus o tempo estimado do trâmite judicial,,3.0,Em prospecção pela equipe da HITSS,Juridico Trabalhista,Paulo Viveiros / Janaina,HITSS,,,,,IA / ML,,,2025-05-15,,
Em Prospecção,,,,Automação de RFQs,"Converter respostas de fornecedores a Editais/RFPs lançadas pela Claro em planilha, avaliando a aderência das respostas às demandas feitas",,3.0,Engenharia montando ambiente de plataforma de RAG para testes.,Engenharia,Marcio Nunes / Heloisa Carneiro,Beon Labs,,,,,GEN AI,,,2025-05-22,,
Em Prospecção,,,,Automação de Editais ,"Converter questões de Editais em tabela Excel
Com base nos equipamentos definidos e suas especificações, responder às questões dos editais",,3.0,Engenharia montando ambiente de plataforma de RAG para testes.,Engenharia,Marcio Nunes / Heloisa Carneiro,Beon Labs,,,,,GEN AI,,,2025-05-22,,
Em Prospecção,,,,Coverter códigos de serviços legados em microsserviços,Avaliação de uma ferramenta V8 Tech e outras tecnologias ,,3.0,Em definição de escopo e assinatura de NDA,TI,Gustavo Leite / Ricardo Rosa,TI,,,,,,,,2025-06-17,3.0,
Concluido,Concluido - Aguardando Go/No para Piloto,,,Enter AI,"Elaboração pela plataforma de IA, 10 defesas da Claro relacionadas ao tema de fraude de subscrição para permitir a experimentação do potencial e usabilidade da ferramenta. ",,1.0,Demandante vai criar a SD 129217 e alinhar com GR MARTHA para dar andamento do Piloto;,Juridico Trabalhista,Naomi,Juridico,,,,,,,,2025-08-08,,
Concluido,,,,ODA-Oracle Digital Assistant com IA,"Possibilitar autosserviço para o líder quando necessário realizar a alteração de skill no TOA, sem necessidade de utilização de um BKO, solicitando via texto ou áudio e tendo a validação das regras de alteração e ajuste do skill dentro do TOA. Permitir também uma consulta do Técnico de Campo a bases de conhecimento ( RAG, via integração (Ex: Conectado), agilizando o processo de instalação/manutenção e melhorando a experiencia no atendimento ao cliente.",,3.0,,,,TI,,,,,,,,,,
Concluído,Em planejamento,,,Consulta inteligente sobre os documentos de arquitetura,"Diversas análises sobre os artefatos como documentos de arquitetura, informações de inventários. Avaliar se há oportunidades de otimização e automação.",,3.0,Criado ambiente para inicio dos testes. Em fase de planejamento.,TI,Gustavo Leite / Ana Teresa,Beon Labs,,,,,,,,2025-06-17,4.0,
Em Prospecção,,,,Previsão de HLE (dentro ou fora do range),A ideia é otimizar o processo de HLE. ,,3.0,Refinamento do escopo. ,TI,Gustavo Leite / Patricia Correa,Beon Labs,,,,,,,,2025-06-17,5.0,
Concluído,Em andamento,,,Validação de SD,Utilizar IA para melhorar a qualidade de conteúdo do documento de solicitação de demandas com o objetivo de otimizar o tempo e reduzir atrito.,,3.0,Levantamento de critérios para dizer quando a SD é aderente ao que o GR espera. Previsão  01/09.,TI,Gustavo Leite / Patricia Correa,Beon Labs,,,,,,,,2025-08-28,6.0,
Em Prospecção,,,,Controle de status dos projetos ,Analisar o uso da IA para governança de projetos,,3.0,Ainda em definição do escopo.,TI,Gustavo Leite / Patricia Correa,Beon Labs,,,,,,,,,7.0,
Concluído,Em backlog,,,Pauta e na ata das reuniões/Comitês,Gerar propostas de pauta e ata de reunião para otimizar o tempo,,3.0,Exige licenças do M365 e Teams Premium que está em avaliação pela empresa.,TI,Gustavo Leite / Patricia Correa,Beon Labs,,,,,,,,,8.0,
Backlog,,,,OBZ com payback acima de 3 anos,Avaliação de Bplan,,3.0,Ainda verificando benefícios,Financeiro,Patricia Platon,Beon Labs,,,,,,,,,,
Concluido,Em planejamento,,,VALIDAÇÃO DE ORDENS DE SERVIÇO ELEGÍVEIS PARA REMUNERAÇÃO,"Validar a integridade da base de ordens de serviços executadas pelas empreiteiras, bem como se o critério de remuneração dessas ordens está aderente ao caderno de regras estabelecido pela área Técnica. Atualmente não há controle de integridade que garanta que todas as ordens de serviços executadas e registradas no sistema NetSMS foram consideradas para apuração da remuneração das parceiras, Dessa forma, há necessidade de fazer testes substantivos (amostrais) de auditoria para validar a acuracidade da base de dados e regras aplicadas. No ano de 2024 foram pagos aproximadamente  R$ 1.3 bi de remuneração.",,3.0,Em planejamento,Auditoria Interna,BENIGNO DELGADO PARRA/LUCI MOREIRA DA SILVA ARTERO,HITSS,,,,,,,,2025-08-12,,"Aumento da produtividade da Auditoria 
Ganho de eficiência operacional e melhoria de controle para evitar a remuneração de valores indevidos  "
Concluido,Em planejamento,,,Ambiente Estratégico Jurídico-Regulatório,"Oportunidade: 
* Análise exaustiva de base processual disponível publicamente, 
* Identificação de oportunidades jurídicas baseadas em julgados e peças processuais de matérias correlatas, 
* Aprimoramento de estratégias processuais, melhorando a eficiência a partir do uso de teses mais assertivas
** Geração de insights baseados na base de conhecimento criada
** Risco processual atual (multas aplicadas) de R$ 7,7 Bi.
Escopo
* Processos Administrativos instaurados na Anatel (Análises Anatel, neste momento)
* Processos Judiciais Cíveis Estratégicos instaurados nos tribunais do Brasil (TJs, TRFs, STF, STJ, etc) (Futuro)",,3.0, Em planejamento,Contencioso Cível e Regulatório,Wilson Bolcchi Jr / João Deiró,HITSS,,,,,,,,2025-08-12,,"Redução do tempo gasto na definição de estratégias em processos.
•Redução no tempo de análise de julgados anteriores – Reduzir em 90%
Aumento na quantidade de precedentes analisados (processos setoriais julgados) – Aumentar em 200%
Melhoria esperada na Taxa de êxito nas defesas (Redução de Multa) – Redução em R$ 45MM1 Administrativos
Aderência da defesa aos precedentes relevantes 


1 Melhoria na redução de multas em 10% em relação ao ano anterior junto à Anatel produzindo um saving  adicional de R$ 45MM após implantação."
Concluido,Arquivado,,,Ferramenta de Conversão de Linguagem de Código,Avaliar se a revisão do código legado por uma LLM irá gerar melhorias com rafactoring e garantir a manutenção do código a longo prazo.,,3.0,Ambiente instalado. Testes iniciados com previsão de 1 mês de testes,TI,Luciane Oliveira / Alexandre Conrado,beOn Labs,2025-04-01,2025-06-28 00:00:00,,,Gen AI,,"30/05/2025
18/04/2025",2025-06-17,10.0,
Concluído,Em refinamento,,,Métricas da Rede com Crowdsourcing,"Comprovar a viabilidade de construir um componente para coletar e transmitir diversas métricas sobre qualidade da rede móvel e operação do próprio terminal, a partir da variedade de smartphones (marcas e modelos). 

Comprovar a viabilidade de analisar e extrair insights importantes. Entender limitações técnicas e consumo de recursos dessa estratégia sobre terminais do usuário.",,3.0,Em validação do escopo para submeter para a Finepe.,Engenharia,Silverio,TI & Engenharia,,,,,,,,,,
Em Prospecção,,,,Monitoria Digital BCC,"Atualmente, a validação dos atendimentos depende de monitores humanos, o que limita a análise a um volume reduzido e demanda muito tempo, impossibilitando a avaliação de 100% dos atendimentos e de todos os operadores. Validar automaticamente 100% dos atendimentos e de todos os operadores, a partir das interações com o cliente, o cumprimento dos processos, correlacionando as informações de áudio e texto, garantindo a maior quantidade de avaliações, acuracidade no processo de monitoria /auditoria, gerando insights para melhorar a experiência do cliente e os processos operacionais.",,3.0,BCC está em busca de uma conta + ambiente de lab para rodar os experimentos.,Qualidade Brasil Center,,,,,,,,,,,,
Em Prospecção,,,,Análise de Crédito com IA,,,3.0,,,,,,,,,,,,,,
Concluído,Arquivado,,,Bot do DEX (Kore AI),"Avaliar a capacidade de aderência da ferramenta SearchAssist da KoreAI, visando poder ser usada como um Bot interno para apoiar as áreas na captura rápida de informações não estruturadas ou até mesmo vir a ser uma opção de evolução de ""motor""""
de busca para o site da Claro.",,3.0,Não aitngiu os critérios de sucesso.,Digital,Rodrigo Duclos / Rafael Boscolo,Digital,,,,,,,,2025-07-18,,
Em Prospecção,,,,Análise de Proposta de Fornecedores,Efetuar análise de proposta de fornecedores com base em solicitação de demandas (SD) e documento de arquitetura,,3.0,Montamos um ambiente para os primeiros testes antes de dar forma ao experimento,TI,Gustavo Leite / Vini,Beon Labs,,,,,,,,2025-06-17,9.0,
Em Prospecção,,,,Eficiência Dir. Plan FIN,,,,,,,,,,,,,,,2025-07-07,,
Em Prospecção,,,,Validação de OS´s elegíveis,Validar a integridade da base de ordens de serviços executados pelas empreiteiras.,,,,HITSS,Benigno Delgado / Luci Moreira,Beon Labs,,,,,,,,,,
Em Prospecção,,,,Ambiente Estratégico,Análise exaustiva de base processual disponível publicamente.,,,,HITSS,Isabela Cahú / Wilso Bocchi e João Deiro,Beon Labs,,,,,,,,,,
Concluído,Em andamento,,,Leitura Automática de Doc. Pessoal​ (Smart Validation),"No processo de vendas de e-commerce, há situações em que é necessário solicitar ao cliente o envio de cópias de documentos pessoais e cadastrais para confirmar ou corrigir informações antes de prosseguir com o pedido. Atualmente, esse procedimento é realizado manualmente pela equipe de backoffice, o que torna o processo mais demorado, podendo resultar em perda de vendas e gerar um custo mensal significativo.",,3.0,Em andamento,Digital,Rodrigo Duclos / Marcos Zumba,Digital,,2025-08-06 00:00:00,,,,,,2025-07-18,,
Concluído,Em backlog,,,Explicação de Fatura​,"O maior ofensor na quantidade de ligações na central de atendimento está relacionado a assuntos financeiros, inclusive dúvidas sobre a fatura, discordância sobre valores, dúvidas sobre planos etc. Logo existe uma oportunidade de ""digitalizar"" parte dessas questões financeiras visando melhorar a experiencia do cliente e também reduzir custos.",,,,Digital,Albervan Luz (???),Digital,,,,,,,,2025-07-18,,
Concluído,Em andamento,,,Recomendador de Produtos (Smart Sales)​,"A proposta é criar um módulo que identifique as necessidades dos clientes durante a jornada de vendas no e-commerce da Claro e disponibilize os produtos que atendam essas necessidades. Essas necessidades podem ser extraídas através da análise de faturas de concorrentes fornecidas pelos clientes, por meio de uma interface de perguntas e respostas ou pela captura de necessidades em campos de texto livre.",,3.0,Em andamento,Digital,Rodrigo Duclos / Marcos Zumba,Digital,,2025-08-15 00:00:00,,,,,,2025-07-18,,
Concluído,Em andamento,,,Validação Inteligente de Endereços​ (Match HP),"Desenvolver um componente que faça a correlação automática do endereço informado pelo cliente durante a jornada de venda com os dados existentes na base cabeada. Esse componente deve ser integrado à jornada de venda do e-commerce, seja pelo site, WhatsApp ou qualquer outro canal.",,3.0,Em andamento,Digital,Rodrigo Duclos / Marcos Zumba,Digital,,2025-08-12 00:00:00,,,,,,2025-07-18,,
Concluído,Arquivado,,,Leitura Automática de Comprovantes de Pagamento​,"Automatizar o envio de documentos para reavaliação de crédito de prospects, eliminando a intervenção humana. O mecanismo analisará automaticamente os comprovantes de pagamento enviados pelos clientes, gerando um status da análise que ficará disponível para outras ferramentas, eliminando a necessidade de backoffice.",,3.0,cancelada por reorganização do processo ,Digital,Rodrigo Duclos / Marcos Zumba,Digital,,,,,,,,2025-07-18,,
Concluído,Em backlog,,,Assistente para cadastro de credencial digital,"Desenvolver um assistente capaz de guiar o cliente na criação de sua credencial digital, e que seja flexivel suficiente para ser conectado em qualquer ponto da jornada do cliente, sendo ele um cliente novo ou cliente da base.",,,,Digital,Rodrigo Duclos / Rafael Boscolo,Digital,,,,,,,,2025-07-18,,
Concluído,Concluido - Aguardando Go/No para Piloto,,,M365 ( CoPilot),"Entender possíveis ganhos de produtividade no uso da
ferramenta, analisando riscos, benefícios, custos, perfis mais
aderentes, adoção, abandono e influencia da capacitação._x000D_",,3.0,Agenda para apresentação para Rodrigo Marques,Digital,Rodrigo Duclos / Ricardo Ferro,Digital,,,,,,,,2025-07-18,,
Backlog,,,,Converter SD em Desenho de Arquitetura,,,3.0,"Possivelmenter DevEx, verificar com Rosa.",,,,,,,,,,,,,
Concluído,Em refinamento,,,JIRA ROVO,,,,,,,,,,,,,,,,,
Em Prospecção,,,,LT IA,Experimento com plataforma da IBM para solução de RAG que visa criar um assistente para respoinder dúvidas para desenvolvedores (cerca de 100). A ideia é desafogar o LT (4) e aumentar a produtividade.,,3.0,"Reunião para entendimento e esclarecimento do processo de experimetação e aguadando o OK do Sponsor para avaliar se vão seguir em frente. Há oportunidade de ser uma feaature do DevEX, Rosa.",TI,Gaiotto / Melkih,Beon Labs,,,,,,,,2025-08-28,,
Backlog,,,,Contestação de Fatura ,Diminuir quantidade de backoffice que é atualmente 2¨6% da base. Atualmente 60% do que tratam são contestações improcedentes. ,,3.0,,Digital,Rodrigo Duclos / Gabriel Dias,Digital,,2025-09-26 00:00:00,,,,,,,,
